Hostname:       ikelite-1-0.local
Date:           2009-03-26 14:25:48
Spatial:        no
Reverse:        no
Color Map:      yes

 L       FOUND         EQUIV         TIME (s)
----  ------------  ------------  ------------
  1             2            12         0.003
  2             8           114         0.007
  3            48           924         0.032
  4           294          6539         0.045
  5          1700         39528         0.077
  6          8464        199926         0.355
  7         33819        806136         1.661
  8        115488       2761740         6.795
  9        361264       8656152        25.595
 10        931396      22334112        82.135
 11       1351874      32420448       203.087
 12        783172      18780864       277.749
 13         90410       2166720       148.059
 14           294          6624        17.730
 15             0             0         0.058


:::::::::::::::: 

