Hostname:       bfoxcam
Date:           2009-04-01 14:28:24      
Spatial:        yes  
Reverse:        yes  
Color Map:      yes  

 L       FOUND         EQUIV         TIME (s)
----  ------------  ------------  ------------
  1             1           144         0.016
  2             3           360         0.006
  3             8          1656         0.017
  4            21          7344         0.049
  5            73         32400         0.128
  6           267        133368         0.510
  7           963        514320         2.098
  8          3315       1839384         8.447
  9         10719       6066432        32.627
 10         30014      17120832       118.046
 11         55421      31704384       368.393
 12         43589      24939840       751.464
 13         10119       5770656       653.713
 14            94         48768       166.317
 15             0             0         1.724


::::::::::::::::::::::
 
  
